STATE,PC NO,PC NAME,PC NAME Processed,NO. OF AC SEGMENTS,NO. OF POLLING STATION,ELECTORS,AVG. NO OF ELECTORS PER POLLING STATION,NOMINATIONS,CONTESTENTS,FORFIETED DEPOSITS,VOTERS,VOTERS TURN OUT (IN %),
Maharashtra,26,Mumbai North,Mumbai North,6,1684,1783870,1059,27,21,19,946717,82.19,
Maharashtra,29,Mumbai North central,Mumbai North Central,6,1725,1737084,1007,27,21,19,845455,76.64,
Maharashtra,28,Mumbai North East,Mumbai North East,6,1650,1668357,1011,26,19,17,862522,83.48,
Maharashtra,27,Mumbai North West,Mumbai North West,6,1689,1775416,1051,21,14,12,897871,84.27,
Maharashtra,30,Mumbai South central,Mumbai South Central,6,1582,1447886,915,27,21,19,768750,79.31,
Bihar,28,Munger,Munger,6,1691,1719984,1017,17,13,10,914442,83.48,
West Bengal,11,Murshidabad,Murshidabad,7,1897,1512098,797,12,12,9,1288578,71.58,
Uttar Pradesh,3,Muzaffarnagar,Muzaffarnagar,5,1535,1588475,1035,30,19,17,1107765,72.69,
Bihar,15,Muzaffarpur,Muzaffarpur,6,1476,1551363,1051,30,29,27,948927,76.52,
Karnataka,21,Mysore,Mysore,8,1973,1723134,873,22,15,13,1159628,67.53,
Odisha,12,Nabarangpur ,Nabarangpur ,7,1709,1297210,759,8,7,5,1022187,75.55,
Nagaland,1,Nagaland,Nagaland,60,2059,1182972,575,4,3,1,1039962,76.15,
Tamil Nadu,29,Nagapattinam ,Nagapattinam ,6,1425,1210617,850,25,9,7,942568,76.64,
Andhra Pradesh,12,Nagarkurnool,Nagarkurnool,7,1676,1477305,881,9,6,3,1116159,75.55,
Rajasthan,14,Nagaur,Nagaur,8,1783,1678660,941,14,13,11,1005523,81.27,
Uttar Pradesh,5,Nagina,Nagina,5,1545,1493419,967,19,14,11,942625,76.09,
Maharashtra,10,Nagpur ,Nagpur ,6,1828,1900784,1040,51,33,31,1085765,60.51,
Uttarakhand,4,Nainital-udhamsingh Nagar,Nainital-Udhamsingh Nagar,14,1957,1610811,823,19,15,13,1101934,69.11,
Bihar,29,Nalanda,Nalanda,7,2025,1951967,964,27,22,20,921841,76.64,
Andhra Pradesh,13,Nalgonda,Nalgonda,7,1729,1494343,864,11,9,6,1191667,79.75,
Tamil Nadu,16,Namakkal,Namakkal,6,1516,1329550,877,35,26,24,1060024,81.21,
Maharashtra,16,Nanded,Nanded,6,1866,1687057,904,67,23,21,1014020,81.21,
Maharashtra,1,Nandurbar ,Nandurbar ,6,1984,1672943,843,14,9,7,1117024,76.15,
Andhra Pradesh,34,Nandyal,Nandyal,7,1732,1576945,910,24,14,12,1209680,76.71,
Andhra Pradesh,31,Narasaraopet,Narasaraopet,7,1633,1514861,928,13,11,9,1282831,84.68,
Andhra Pradesh,26,Narsapuram,Narsapuram,7,1373,1325028,965,19,14,12,1089102,82.19,
Maharashtra,21,Nashik,Nashik,6,1664,1593774,958,29,15,13,937600,67.53,
Gujarat,25,Navsari,Navsari,7,1844,1764620,957,23,19,17,1161476,81.38,
Bihar,39,Nawada,Nawada,6,1676,1694895,1011,20,17,14,884474,74.02,
Andhra Pradesh,39,Nellore,Nellore,7,1799,1606126,893,17,14,12,1188861,74.02,
NCT OF Delhi,4,NEW DELHI                     ,New Delhi                     ,10,1525,1490147,977,35,29,26,970169,69.11,
Tamil Nadu,19,Nilgiris ,Nilgiris ,6,1439,1269173,882,16,10,8,933493,74.60,
Andhra Pradesh,4,Nizamabad,Nizamabad,7,1653,1496193,905,39,16,13,1034032,69.11,
NCT OF Delhi,2,NORTH EAST DELHI              ,North East Delhi              ,10,1744,1957707,1123,40,23,21,1317974,71.93,
Goa,1,North Goa,North Goa,20,827,515434,623,10,7,5,406945,76.15,
NCT OF Delhi,5,NORTH WEST DELHI              ,North West Delhi              ,10,2053,2194343,1069,20,14,12,1356404,76.09,
Assam,10,Nowgong,Nowgong,9,1902,1523881,801,10,8,5,1230495,60.51,
Andhra Pradesh,33,Ongole ,Ongole ,7,1707,1470212,861,20,15,13,1208904,82.23,
Maharashtra,40,Osmanabad,Osmanabad,6,1971,1759186,893,41,27,25,1119704,77.14,
